Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
11-Feb-23,170,3,VIC,MRC,SAND,CARLYON CUP,1600,"200,000",O,O,SWP,T S CARLYON CUP
11-Feb-23,661,3,VIC,MRC,SAND,GEOFFREY BELMAINE STAKES,1200,"200,000",4YO&Up,M,SWP,GEOFFREY BELMAINE STAKES
11-Feb-23,316,3,VIC,MRC,SAND,KEVIN HAYES STAKES,1200,"200,000",3-Y-O,F,SWP,BORONIA STAKES
12-Feb-23,40,3,TAS,TRC,HOB,HOBART CUP,2400,"250,000",O,O,Hcp,HOBART CUP
12-Feb-23,247,4,TAS,TRC,HOB,THOMAS LYONS STAKES,1400,"125,000",O,O,WFA,THOMAS LYONS STAKES
17-Feb-23,742,4,VIC,MVRC,THE VALLEY,MV NIGHT CUP,2500,"200,000",O,O,Hcp,MV NIGHT CUP
18-Feb-23,944,RL,WA,PINJ,PINJ,MAGIC MILLIONS WA 2YO CLASSIC,1200,"250,000",2-Y-O,O,SW,MAGIC MILLIONS PERTH 2YO CLASSIC
18-Feb-23,943,RL,WA,PINJ,PINJ,MAGIC MILLIONS WA 3YO TROPHY,1200,"200,000",3-Y-O,O,SW,MAGIC MILLIONS 3YO TROPHY
18-Feb-23,310,2,NSW,ATC,RHIL,HOBARTVILLE STAKES,1400,"400,000",3-Y-O,O,SW,HOBARTVILLE STAKES
18-Feb-23,25,2,NSW,ATC,RHIL,SILVER SLIPPER STAKES,1100,"250,000",2-Y-O,O,SW,SILVER SLIPPER STAKES
18-Feb-23,647,2,NSW,ATC,RHIL,MILLIE FOX STAKES,1300,"250,000",3YO&Up,F&M,SWP,MILLIE FOX STAKES
18-Feb-23,397,4,NSW,ATC,RHIL,PARRAMATTA CUP,1900,"160,000",3YO&Up,O,Qlty,PARRAMATTA CUP
18-Feb-23,332,1,VIC,VRC,FLEM,BLACK CAVIAR LIGHTNING STAKES,1000,"1,000,000",O,O,WFA,VRC LIGHTNING STAKES
18-Feb-23,226,3,VIC,VRC,FLEM,CS HAYES STAKES,1400,"200,000",3-Y-O,C&G,SWP,THE DEBONAIR
18-Feb-23,524,3,VIC,VRC,FLEM,THE VANITY,1400,"200,000",3-Y-O,F,SWP,THE VANITY
18-Feb-23,496,4,VIC,VRC,FLEM,TALINDERT STAKES,1100,"175,000",2-Y-O,O,SWP,TALINDERT STAKES
