Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
10-Sep-22,205,4,VIC,VRC,FLEM,POSEIDON STAKES,1100,"175,000",C&G,O,SWP,POSEIDON STAKES
10-Sep-22,933,4,VIC,VRC,FLEM,TONTONAN STAKES,1400,"175,000",4YO&Up,O,HCP,TONTONAN STAKES
14-Sep-22,568,4,SA,BKVA,BKVA,BALAKLAVA CUP,1600,"107,250",O,O,Qlty,BALAKLAVA CUP
16-Sep-22,381,3,NSW,NCLE,NCLE,NEWCASTLE GOLD CUP,2300,"250,000",3YO&Up,O,Hcp,NEWCASTLE GOLD CUP
16-Sep-22,160,3,NSW,NCLE,NCLE,CAMERON HCP,1500,"200,000",O,O,Hcp,CAMERON HANDICAP
16-Sep-22,672,3,NSW,NCLE,NCLE,TIBBIE STAKES,1400,"200,000",O,F&M,SWP,TIBBIE STAKES
17-Sep-22,550,4,SA,SAJC,MORP,W H WYLIE HANDICAP,1100,"107,250",O,O,Qlty,W H WYLIE HANDICAP
17-Sep-22,276,1,NSW,ATC,RAND,GEORGE MAIN STAKES,1600,"1,000,000",3YO&Up,O,WFA,GEORGE MAIN STAKES
17-Sep-22,457,2,NSW,ATC,RAND,THE SHORTS,1100,"500,000",3YO&Up,O,SWP,THE SHORTS
17-Sep-22,506,2,NSW,ATC,RAND,DARLEY TEA ROSE STAKES,1400,"250,000",3-Y-O,F,SW,TEA ROSE STAKES
17-Sep-22,582,3,NSW,ATC,RAND,BILL RITCHIE HANDICAP,1400,"200,000",3YO&Up,O,Qlty,BILL RITCHIE HANDICAP
17-Sep-22,324,3,NSW,ATC,RAND,KINGSTON TOWN STAKES,2000,"200,000",3YO&Up,O,SWP,KINGSTON TOWN STAKES
17-Sep-22,348,1,VIC,MRC,CAUL,SIR RUPERT CLARKE STAKES,1400,"1,000,000",O,O,Hcp,INVITATION STAKES
17-Sep-22,300,2,VIC,MRC,CAUL,THOUSAND GUINEAS PRELUDE,1400,"300,000",3-Y-O,F,SWP,TRANQUIL STAR STAKES
17-Sep-22,458,3,VIC,MRC,CAUL,CAULFIELD GUINEAS PRELUDE,1400,"300,000",3-Y-O,C&G,SWP,CAULFIELD GUINEAS PRELUDE
17-Sep-22,656,3,VIC,MRC,CAUL,HOW NOW STAKES,1200,"200,000",4YO&Up,M,SWP,HOW NOW STAKES
17-Sep-22,440,3,VIC,MRC,CAUL,NATURALISM STAKES,2000,"160,000",O,O,Qlty,NATURALISM STAKES
18-Sep-22,609,4,WA,KALG,KALG,BOULDER CUP,2100,"125,000",3YO&Up,O,Qlty,BOULDER CUP
23-Sep-22,363,1,VIC,MVRC,THE VALLEY,MOIR STAKES,1000,"1,000,000",O,O,WFA,A.J. MOIR STAKES
23-Sep-22,599,2,VIC,MVRC,THE VALLEY,STOCKS STAKES,1600,"300,000",4YO&Up,M,WFA,W H STOCKS STAKES
23-Sep-22,369,2,VIC,MVRC,THE VALLEY,STUTT STAKES,1600,"300,000",3-Y-O,O,SW,MOONEE VALLEY STAKES
23-Sep-22,641,3,VIC,MVRC,THE VALLEY,JRA CUP,2040,"200,000",O,O,Qlty,JRA CUP
23-Sep-22,525,3,VIC,MVRC,THE VALLEY,SCARBOROUGH STAKES,1200,"200,000",3-Y-O,F,SW,MV CHAMPAGNE STAKES
24-Sep-22,538,4,QLD,TTC,TWBA,WEETWOOD HANDICAP,1200,"125,000",O,0,Qlty,WEETWOOD HANDICAP
24-Sep-22,144,4,WA,WATC,BLMT,BLACK HEART BART STAKES,1200,"125,000",4YO&Up,O,SWP,BIRTHDAY STKS
24-Sep-22,670,1,NSW,ATC,RHIL,GOLDEN ROSE STAKES,1400,"1,000,000",3-Y-O,O,SW,GOLDEN ROSE STAKES
24-Sep-22,653,2,NSW,ATC,RHIL,GOLDEN PENDANT,1400,"400,000",3YO&Up,F&M,SWP,GOLDEN PENDANT
24-Sep-22,454,2,NSW,ATC,RHIL,SHANNON STAKES,1500,"250,000",3YO&Up,O,Qlty,SHANNON STAKES
24-Sep-22,209,3,NSW,ATC,RHIL,COLIN STEPHEN QUALITY,2400,"200,000",3YO&Up,O,Qlty,COLIN STEPHEN QLTY HCP
24-Sep-22,464,4,NSW,ATC,RHIL,HERITAGE STAKES,1100,"160,000",3-Y-O,O,SWP,HERITAGE STAKES
24-Sep-22,743,4,VIC,MRC,MORN,R.M. ANSETT CLASSIC,2400,"175,000",O,O,Hcp,R M ANSETT CLASSIC
25-Sep-22,521,1,VIC,MRC,SANH,UNDERWOOD STAKES,1800,"1,000,000",3YO&Up,O,WFA,UNDERWOOD STAKES
25-Sep-22,208,3,VIC,MRC,SANH,SANDOWN STAKES,1500,"200,000",O,O,Qlty,SANDOWN STAKES
25-Sep-22,981,4,VIC,MRC,SANH,JIM MOLONEY STAKES,1400,"175,000",3-Y-O,F,SWP,JIM MOLONEY STAKES
25-Sep-22,721,4,VIC,MRC,SANH,TESTA ROSSA STAKES,1200,"175,000",O,O,Hcp,TESTA ROSSA STAKES
29-Sep-22,296,4,WA,KALG,KALG,HANNAN'S HANDICAP,1400,"150,000",3YO&Up,O,Qlty,HANNANS HANDICAP
1-Oct-22,319,4,WA,KALG,KALG,KALGOORLIE CUP,2300,"150,000",3YO&Up,O,Qlty,KALGOORLIE CUP
1-Oct-22,570,4,NSW,ATC,RHIL,DULCIFY STAKES,1500,"250,000",3-Y-O,O,SWP,DULCIFY STAKES
1-Oct-22,14,1,NSW,ATC,RAND,EPSOM HCP,1600,"1,500,000",3YO&Up,O,Hcp,EPSOM HANDICAP
1-Oct-22,261,1,NSW,ATC,RAND,FLIGHT STAKES,1600,"750,000",3-Y-O,F,SW,FLIGHT STAKES
1-Oct-22,16,1,NSW,ATC,RAND,THE METROPOLITAN,2400,"750,000",3YO&Up,O,Hcp,THE METROPOLITAN
1-Oct-22,308,2,NSW,ATC,RAND,HILL STAKES,2000,"1,000,000",3YO&Up,O,WFA,HILL STAKES
1-Oct-22,407,2,NSW,ATC,RAND,PREMIERE STAKES,1200,"500,000",3YO&Up,O,WFA,PREMIERE STAKES
1-Oct-22,153,3,NSW,ATC,RAND,BREEDERS' PLATE,1000,"200,000",2-Y-O,C&G,SW,BREEDERS PLATE
1-Oct-22,279,3,NSW,ATC,RAND,GIMCRACK STAKES,1000,"200,000",2-Y-O,F,SW,ATC GIMCRACK STKS
1-Oct-22,519,1,VIC,VRC,FLEM,TURNBULL STAKES,2000,"1,000,000",4YO&Up,O,SWP,TURNBULL STAKES
1-Oct-22,145,2,VIC,VRC,FLEM,DANEHILL STAKES,1100,"300,000",3-Y-O,O,SWP,DANEHILL STAKES
1-Oct-22,244,2,VIC,VRC,FLEM,EDWARD MANIFOLD STAKES,1600,"300,000",3-Y-O,F,SW,EDWARD MANIFOLD STAKES
1-Oct-22,442,2,VIC,VRC,FLEM,GILGAI STAKES,1200,"300,000",O,O,SWP,BAGUETTE STAKES
1-Oct-22,590,2,VIC,VRC,FLEM,ROSE OF KINGSTON STAKES,1400,"300,000",4YO&Up,M,SWP,ROSE OF KINGSTON STAKES
1-Oct-22,713,3,VIC,VRC,FLEM,THE BART CUMMINGS,2500,"750,000",O,O,Qlty,THE BART CUMMINGS
1-Oct-22,346,4,VIC,VRC,FLEM,MARIBYRNONG TRIAL STAKES,1000,"175,000",2-Y-O,O,SW,MARIBYRNONG TRIAL STAKES
1-Oct-22,638,4,VIC,VRC,FLEM,PARIS LANE STAKES,1400,"175,000",4YO&Up,O,Hcp,PARIS LANE STAKES
1-Oct-22,712,4,VIC,VRC,FLEM,SUPER IMPOSE PLATE,1800,"175,000",3-Y-O,O,SWP,SUPER IMPOSE PLATE
2-Oct-22,594,4,VIC,SEYM,BEND,SEYMOUR CUP,1600,"200,000",O,O,Hcp,SEYMOUR CUP
8-Oct-22,309,4,SA,SAJC,MORP,HILL SMITH STAKES,1800,"107,250",3-Y-O,O,SW,HILL SMITH STAKES
8-Oct-22,281,3,NSW,ATC,RHIL,GLOAMING STAKES,1800,"500,000",3-Y-O,O,SW,GLOAMING STAKES
8-Oct-22,433,2,NSW,ATC,RAND,ROMAN CONSUL STAKES,1200,"300,000",3-Y-O,O,SW,ROMAN CONSUL STKS
8-Oct-22,618,3,NSW,ATC,RAND,ANGST STAKES,1600,"200,000",4YO&Up,M,SWP,ANGST STAKES
8-Oct-22,617,3,NSW,ATC,RAND,THE NIVISON,1200,"200,000",4YO&Up,M,SWP,THE NIVISON
8-Oct-22,11,1,VIC,MRC,CAUL,CAULFIELD GUINEAS,1600,"3,000,000",3-Y-O,O,SW,CAULFIELD GUINEAS
8-Oct-22,181,1,VIC,MRC,CAUL,MIGHT AND POWER,2000,"1,000,000",3YO&Up,O,WFA,CAULFIELD STAKES
8-Oct-22,245,1,VIC,MRC,CAUL,TOORAK HANDICAP,1600,"1,000,000",O,O,Hcp,TOORAK HANDICAP
8-Oct-22,305,2,VIC,MRC,CAUL,HERBERT POWER STAKES,2400,"300,000",O,O,Qlty,HERBERT POWER STAKES
8-Oct-22,196,2,VIC,MRC,CAUL,SCHILLACI STAKES,1100,"300,000",3YO&Up,O,WFA,SCHILLACI STAKES
8-Oct-22,695,3,VIC,MRC,CAUL,NORTHWOOD PLUME STAKES,1200,"200,000",4YO&Up,M,SWP,NORTHWOOD PLUME STAKES
8-Oct-22,509,3,VIC,MRC,CAUL,THOROUGHBRED CLUB STAKES,1200,"200,000",3-Y-O,F,SWP,THOROUGHBRED CLUB STAKES
8-Oct-22,227,4,VIC,MRC,CAUL,DEBUTANT STAKES,1000,"175,000",2-Y-O,O,SW,DEBUTANT STAKES
8-Oct-22,935,4,VIC,MRC,CAUL,WEEKEND HUSSLER,1400,"175,000",O,O,HCP,WEEKEND HUSSLER HANDICAP
8-Oct-22,936,4,VIC,MRC,CAUL,CAULFIELD VILLAGE STAKES,1200,"175,000",O,O,HCP,CAULFIELD VILLAGE STAKES
12-Oct-22,510,1,VIC,MRC,CAUL,THOUSAND GUINEAS,1600,"1,000,000",3-Y-O,F,SW,THE THOUSAND GUINEAS
12-Oct-22,979,3,VIC,MRC,CAUL,BLUE SAPPHIRE STAKES,1200,"200,000",3-Y-O,O,SW,BLUE SAPPHIRE STAKES
12-Oct-22,211,3,VIC,MRC,CAUL,COONGY HANDICAP,2000,"200,000",O,O,Hcp,COONGY HANDICAP
12-Oct-22,710,3,VIC,MRC,CAUL,LADIES DAY VASE,1600,"200,000",4YO&Up,M,SWP,LADIES DAY VASE
14-Oct-22,338,4,SA,MUBR,MBRID,MURRAY BRIDGE GOLD CUP,1600,"107,250",O,O,Qlty,LORD MAYORS MILE
15-Oct-22,108,3,WA,WATC,ASCT,EURYTHMIC STAKES,1400,"150,000",4YO&Up,O,SWP,NORTHERLY STKS
15-Oct-22,565,4,WA,WATC,ASCT,R.S. CRAWFORD STAKES,1000,"125,000",4YO&Up,O,SWP,R.S. CRAWFORD STKS
15-Oct-22,216,3,NSW,ATC,RAND,CRAVEN PLATE,2000,"750,000",3YO&Up,O,WFA,CRAVEN PLATE
15-Oct-22,203,3,NSW,ATC,RAND,SYDNEY STAKES,1200,"500,000",3YO&Up,O,WFA,CITY TATT'S LIGHTNING
15-Oct-22,427,4,NSW,ATC,RAND,REGINALD ALLEN QLTY HCP,1400,"160,000",3-Y-O,F,Qlty,REGINALD ALLEN QUALITY
15-Oct-22,4,1,VIC,MRC,CAUL,CAULFIELD CUP,2400,"5,000,000",O,O,Hcp,CAULFIELD CUP
15-Oct-22,378,2,VIC,MRC,CAUL,CAULFIELD SPRINT,1100,"300,000",O,O,Hcp,CAULFIELD SPRINT
15-Oct-22,561,2,VIC,MRC,CAUL,TRISTARC STAKES,1400,"300,000",4YO&Up,M,SWP,TRISTARC STAKES
15-Oct-22,384,3,VIC,MRC,CAUL,CAULFIELD CLASSIC,2000,"200,000",3-Y-O,O,SWP,NORMAN ROBINSON STAKES
15-Oct-22,728,3,VIC,MRC,CAUL,ETHEREAL STAKES,2000,"200,000",3-Y-O,F,SWP,ETHEREAL STAKES
15-Oct-22,581,3,VIC,MRC,CAUL,MOONGA STAKES,1400,"200,000",4YO&Up,O,SWP,MOONGA STAKES
15-Oct-22,937,4,VIC,MRC,CAUL,ALINGHI STAKES,1100,"175,000",3YO&Up,F&M,Hcp,ALINGHI STAKES
15-Oct-22,354,4,VIC,MRC,CAUL,GOTHIC STAKES,1400,"175,000",3-Y-O,C&G,SWP,GOTHIC STAKES
19-Oct-22,275,3,VIC,GEEL,GEEL,GEELONG CUP,2400,"500,000",O,O,Hcp,GEELONG CUP
19-Oct-22,231,4,VIC,GEEL,GEEL,GEELONG CLASSIC,2200,"200,000",3-Y-O,O,SWP,DERBY TRIAL STAKES
19-Oct-22,974,4,VIC,GEEL,GEEL,BLACK PEARL,1200,"175,000",3YO&Up,F&M,SWP,BLACK PEARL
21-Oct-22,343,1,VIC,MVRC,THE VALLEY,MANIKATO STAKES,1200,"2,000,000",O,O,WFA,MANIKATO STAKES
22-Oct-22,133,4,WA,WATC,ASCT,BELGRAVIA STAKES,1200,"125,000",3-Y-O,O,SWP,BELGRAVIA STKS
22-Oct-22,479,2,NSW,ATC,RAND,CALLANDER PRESNELL STAKES,1600,"1,000,000",3-Y-O,O,SW,STAN FOX STAKES
22-Oct-22,23,1,NSW,ATC,RAND,SPRING CHAMPION STAKES,2000,"2,000,000",3-Y-O,O,SW,SPRING CHAMPION STAKES
22-Oct-22,462,4,NSW,CITY TATTS,RAND,BRIAN CROWLEY STAKES,1200,"200,000",3-Y-O,O,SWP,BRIAN CROWLEY STAKES
22-Oct-22,2,1,VIC,MVRC,THE VALLEY,COX PLATE,2040,"5,000,000",3YO&Up,O,WFA,W S COX PLATE
22-Oct-22,368,2,VIC,MVRC,THE VALLEY,MOONEE VALLEY GOLD CUP,2500,"1,000,000",4YO&Up,O,SWP,MOONEE VALLEY GOLD CUP
22-Oct-22,536,2,VIC,MVRC,THE VALLEY,CRYSTAL MILE,1600,"300,000",O,O,WFA,CRYSTAL MILE
22-Oct-22,648,2,VIC,MVRC,THE VALLEY,MOONEE VALLEY FILLIES CLASSIC,1600,"300,000",3-Y-O,F,SW,MOONEE VALLEY FILLIES CLASSIC
22-Oct-22,304,2,VIC,MVRC,THE VALLEY,MV VASE,2040,"500,000",3-Y-O,O,SW,MV VASE
22-Oct-22,425,3,VIC,MVRC,THE VALLEY,RED ANCHOR STAKES,1200,"200,000",3-Y-O,O,SWP,RED ANCHOR STAKES
22-Oct-22,587,3,VIC,MVRC,THE VALLEY,TESIO STAKES,1600,"200,000",4YO&Up,M,Hcp,TESIO STAKES
22-Oct-22,586,4,VIC,MVRC,THE VALLEY,WILLIAM CROCKETT STAKES,1200,"175,000",3-Y-O,F,SWP,WILLIAM CROCKET STAKES
22-Oct-22,939,RL,VIC,MVRC,THE VALLEY,INGLIS BANNER,1000,"500,000",2-Y-O,O,SW,INGLIS BANNER
23-Oct-22,733,4,WA,NTHM,NTHM,NORTHAM CUP,1600,"150,000",3YO&Up,O,Qlty,NORTHAM CUP
23-Oct-22,758,4,VIC,SALE,SALE,SALE CUP,1600,"200,000",O,O,Hcp,SALE CUP
26-Oct-22,141,3,VIC,BJC,BEND,BENDIGO CUP,2400,"500,000",O,O,Hcp,BENDIGO CUP
29-Oct-22,508,4,SA,SAJC,MORP,JOHN LETTS CUP,1800,"107,250",O,O,SW + P,TOKYO CITY CUP
29-Oct-22,135,3,WA,WATC,ASCT,ASIAN BEAU STAKES,1400,"150,000",3YO&Up,O,Hcp,ASIAN BEAU STKS
29-Oct-22,409,3,WA,WATC,ASCT,PRINCE OF WALES STAKES,1000,"150,000",3YO&Up,O,WFA,PRINCE OF WALES STKS
29-Oct-22,6,1,VIC,VRC,FLEM,VICTORIA DERBY,2500,"2,000,000",3-Y-O,O,SW,VICTORIA DERBY
29-Oct-22,117,1,VIC,VRC,FLEM,COOLMORE STUD STAKES,1200,"2,000,000",3-Y-O,O,SW,ASCOT VALE STAKES
29-Oct-22,560,1,VIC,VRC,FLEM,EMPIRE ROSE STAKES,1600,"1,000,000",3YO&Up,F&M,WFA,EMPIRE ROSE STAKES
29-Oct-22,334,2,VIC,VRC,FLEM,LINLITHGOW STAKES,1400,"500,000",O,O,HCP,LINLITHGOW STAKES
29-Oct-22,531,2,VIC,VRC,FLEM,WAKEFUL STAKES,2000,"300,000",3-Y-O,F,SWP,WAKEFUL STAKES
29-Oct-22,168,3,VIC,VRC,FLEM,CARBINE CLUB STAKES,1600,"500,000",3-Y-O,O,SWP,VRC CARBINE CLUB STAKES
29-Oct-22,222,3,VIC,VRC,FLEM,LEXUS HOTHAM HANDICAP,2500,"300,000",O,O,Qlty,HOTHAM HANDICAP
29-Oct-22,722,3,VIC,VRC,FLEM,BEGONIA BELLE STAKES,1100,"200,000",O,M,SWP,BEGONIA BELLE STAKES
29-Oct-22,290,3,VIC,VRC,FLEM,CHATHAM STAKES,1200,"200,000",O,O,Hcp,CHATHAM STAKES
1-Nov-22,158,4,WA,WATC,ASCT,BURGESS QUEEN STAKES,1400,"125,000",3-Y-O,F,SWP,BURGESS QUEEN STKS
1-Nov-22,1,1,VIC,VRC,FLEM,MELBOURNE CUP,3200,"8,000,000",O,O,Hcp,MELBOURNE CUP
1-Nov-22,696,3,VIC,VRC,FLEM,HKJC STAKES,1400,"200,000",4YO&Up,M,SWP,MAYBE MAHAL STAKES
1-Nov-22,345,3,VIC,VRC,FLEM,MARIBYRNONG PLATE,1000,"200,000",2-Y-O,O,SW,MARIBYRNONG PLATE
1-Nov-22,252,4,VIC,VRC,FLEM,TAB TROPHY STAKES,1800,"175,000",3-Y-O,O,Hcp,BATMAN STAKES
1-Nov-22,293,4,VIC,VRC,FLEM,MELBOURNE CUP DAY PLATE,1800,"175,000",O,O,Hcp,MELBOURNE CUP DAY PLATE
1-Nov-22,745,4,VIC,VRC,FLEM,MSS SECURITY SPRINT,1200,"175,000",O,O,Hcp,ALWAYS WELCOME STAKES
3-Nov-22,673,4,NSW,HAWK,HAWK,LADIES DAY CUP,1600,"160,000",O,O,Hcp,SAFILO CUP
3-Nov-22,19,1,VIC,VRC,FLEM,VRC OAKS,2500,"1,000,000",3-Y-O,F,SW,VRC OAKS
3-Nov-22,426,3,VIC,VRC,FLEM,RED ROSES STAKES,1200,"300,000",3-Y-O,F,SWP,RED ROSES STAKES
3-Nov-22,159,3,VIC,VRC,FLEM,OTTAWA STAKES,1000,"200,000",2-Y-O,F,SW,OTTAWA STAKES
3-Nov-22,491,4,VIC,VRC,FLEM,DESIRABLE STAKES,1400,"175,000",3-Y-O,F,SWP,DESIRABLE STAKES
3-Nov-22,172,4,VIC,VRC,FLEM,CENTURY STAKES,1000,"175,000",O,O,SWP,CENTURY STAKES
5-Nov-22,328,2,WA,WATC,ASCT,LEE STEERE STAKES,1400,"250,000",3YO&Up,O,WFA,LEE STEERE STKS
5-Nov-22,256,4,WA,WATC,ASCT,FAIRETHA STAKES,1400,"125,000",3-Y-O,C&G,SWP,FAIRETHA STKS
5-Nov-22,627,2,NSW,ATC,RHIL,HOT DANISH STAKES,1400,"500,000",3YO&Up,F&M,SW,BREEDERS CLASSIC
5-Nov-22,341,1,VIC,VRC,FLEM,CHAMPIONS STAKES (MacKINNON),2000,"3,000,000",O,O,WFA,LKS MACKINNON STAKES
5-Nov-22,271,1,VIC,VRC,FLEM,CHAMPIONS SPRINT,1200,"3,000,000",O,O,WFA,VICTORIA RACING CLUB STKS
5-Nov-22,106,1,VIC,VRC,FLEM,CHAMPIONS MILE (CANTALA),1600,"3,000,000",O,O,WFA,CANTALA STAKES
5-Nov-22,639,2,VIC,VRC,FLEM,MATRIARCH STAKES,2000,"300,000",4YO&Up,M,SWP,MATRIARCH STAKES
5-Nov-22,901,3,VIC,VRC,FLEM,QUEEN'S CUP,2600,"300,000",O,O,Qlty,QUEEN'S CUP
5-Nov-22,522,4,VIC,VRC,FLEM,THE AMANDA ELLIOTT,1400,"175,000",3-Y-O,O,Hcp,VRC SPRINGTIME STAKES
12-Nov-22,747,4,QLD,BRC,DOOM,KEITH NOUD QUALITY,1200,"125,000",O,O,Qlty,KEITH NOUD QUALITY
12-Nov-22,188,3,WA,WATC,ASCT,W.A. CHAMPION FILLIES ST,1600,"200,000",3-Y-O,F,SW,CHAMPION FILLIES
12-Nov-22,210,3,WA,WATC,ASCT,COLONEL REEVES STAKES,1100,"150,000",3YO&Up,O,SWP,COLONEL REEVES
12-Nov-22,535,3,WA,WATC,ASCT,R.J. PETERS STAKES,1500,"150,000",3YO&Up,O,Hcp,R J PETERS STKS
12-Nov-22,114,4,WA,WATC,ASCT,LUCKYGRAY STAKES,1800,"125,000",3YO&Up,O,Qlty,ASCOT GOLD CUP
12-Nov-22,489,4,WA,WATC,ASCT,PLACID ARK STAKES,1200,"500,000",3-Y-O,O,SWP,PLACID ARK STKS
12-Nov-22,473,3,NSW,NCLE,NCLE,SPRING STAKES,1600,"200,000",3-Y-O,O,SW,NJC 3YO SPRING STAKES
12-Nov-22,215,4,VIC,CRAN,CRAN,CRANBOURNE CUP,1600,"500,000",O,O,Hcp,CRANBOURNE CUP
19-Nov-22,43,1,WA,WATC,ASCT,RAILWAY STAKES,1600,"1,500,000",3YO&Up,O,Qlty,RAILWAY STKS
19-Nov-22,528,2,WA,WATC,ASCT,W.A. GUINEAS,1600,"500,000",3-Y-O,O,SW,WA GUINEAS
19-Nov-22,242,4,WA,WATC,ASCT,CARBINE OF WA STAKES,1400,"125,000",4YO&Up,O,SWP,EASTER STKS
19-Nov-22,698,4,WA,WATC,ASCT,JUNGLE MIST CLASSIC,1200,"125,000",3YO&Up,F&M,SWP,JUNGLE MIST CLASSIC
19-Nov-22,128,4,VIC,BRAT,BRAT,BALLARAT CUP,2000,"500,000",O,O,Hcp,BALLARAT CUP
20-Nov-22,323,4,VIC,KILM,KILM,KILMORE CUP,1600,"200,000",O,O,Hcp,KILMORE CUP
26-Nov-22,201,4,SA,SAJC,MORP,CITY OF MARION STAKES,1200,"107,250",O,O,Qlty H,CITY OF MARION STAKES
26-Nov-22,424,4,QLD,TATTS RC QLD,DOOM,RECOGNITION STAKES,1350,"125,000",O,O,Qlty,RECOGNITION STAKES
26-Nov-22,504,4,WA,WATC,ASCT,A.J. SCAHILL CUP,2100,"125,000",3YO&Up,O,Qlty,WATC TATTERSALL'S CUP
26-Nov-22,549,1,WA,WATC,ASCT,WINTERBOTTOM STAKES,1200,"1,500,000",3YO&Up,O,WFA,WINTERBOTTOM STKS
26-Nov-22,465,4,WA,WATC,ASCT,SIR ERNEST LEE-STEERE CL,1400,"125,000",3-Y-O,O,SW,LEE STEERE CLASSIC
26-Nov-22,260,3,NSW,ATC,RHIL,FESTIVAL STAKES,1500,"200,000",3YO&Up,O,Qlty,FESTIVAL STAKES
26-Nov-22,267,4,NSW,ATC,RHIL,ATC CUP,2000,"160,000",3YO&Up,O,Qlty,FRANK UNDERWOOD CUP
26-Nov-22,654,4,NSW,ATC,RHIL,STARLIGHT STAKES,1100,"160,000",3YO&Up,O,Qlty,STARLIGHT STAKES
26-Nov-22,449,2,VIC,MRC,CAUL,ZIPPING CLASSIC,2400,"750,000",O,O,WFA,ZIPPING CLASSIC
26-Nov-22,450,2,VIC,MRC,CAUL,SANDOWN GUINEAS,1600,"300,000",3-Y-O,O,SW,SANDOWN GUINEAS
26-Nov-22,243,3,VIC,MRC,CAUL,ECLIPSE STAKES,1800,"200,000",O,O,Qlty,ECLIPSE STAKES
26-Nov-22,666,3,VIC,MRC,CAUL,KEVIN HEFFERNAN STAKES,1400,"200,000",O,O,WFA,KEVIN HEFFERNAN STAKES
26-Nov-22,637,3,VIC,MRC,CAUL,SUMMONED STAKES,1600,"200,000",4YO&Up,M,SWP,SUMMONED STAKES
26-Nov-22,236,4,VIC,MRC,CAUL,DOVETON STAKES,1000,"175,000",O,O,Hcp,DOVETON STAKES
26-Nov-22,356,4,VIC,MRC,CAUL,MERSON COOPER STAKES,1000,"175,000",2-Y-O,O,SW,MERSON COOPER STAKES
26-Nov-22,768,4,VIC,MRC,CAUL,SANDOWN CUP,3200,"175,000",O,O,Hcp,SANDOWN CUP
26-Nov-22,355,4,VIC,MRC,CAUL,TWILIGHT GLOW STAKES,1400,"175,000",3-Y-O,F,SWP,TWILIGHT GLOW STAKES
30-Nov-22,579,4,TAS,TTC,LAUN,TASMANIAN NEWMARKET HCP,1200,"125,000",O,O,Qlty,TTC NEWMARKET HANDICAP
3-Dec-22,677,4,QLD,TATTS RC QLD,DOOM,COLIN MCALPINE CLASSIC,1200,"125,000",3YO&Up,F&M,SWP,COLIN MCALPINE CLASSIC
3-Dec-22,552,3,QLD,BRC,DOOM,GEORGE MOORE STAKES,1200,"200,000",O,O,Qlty,GEORGE MOORE STAKES
3-Dec-22,718,4,QLD,BRC,DOOM,MODE STAKES,1200,"125,000",3-Y-O,F,Qlty,MODE STAKES
3-Dec-22,438,1,WA,WATC,ASCT,NORTHERLY STAKES,1800,"1,500,000",3YO&Up,O,WFA,KINGSTON TOWN CLASSIC
3-Dec-22,649,4,WA,WATC,ASCT,JUNGLE DAWN CLASSIC,1400,"125,000",3YO&Up,F&M,SWP,JUNGLE DAWN CLASSIC
3-Dec-22,539,4,VIC,PAKM,PAK,PAKENHAM CUP,2500,"300,000",O,O,Hcp,PAKENHAM CUP
8-Dec-22,418,4,QLD,BRC,E FM,QUEENSLAND CUP,2400,"130,000",O,O,Qlty,QUEENSLAND CUP
8-Dec-22,155,4,QLD,BRC,E FM,BRISBANE HANDICAP,1600,"130,000",O,O,Qlty,BRISBANE HANDICAP
10-Dec-22,29,4,SA,SAJC,MORP,CHRISTMAS HANDICAP,1200,"107,250",O,O,Qlty,CHRISTMAS HANDICAP
10-Dec-22,315,4,QLD,BRC,E FM,BRIBIE HANDICAP,1000,"125,000",O,O,Qlty,BRIBIE HANDICAP
10-Dec-22,678,4,QLD,BRC,E FM,CALAWAY GAL STAKES,1000,"125,000",2-Y-O,F,SW,CALAWAY GAL STAKES
10-Dec-22,664,4,QLD,BRC,E FM,JUST NOW QUALITY,1300,"125,000",3YO&Up,O,Qlty,JUST NOW QUALITY
10-Dec-22,359,4,QLD,BRC,E FM,PHELAN READY STAKES,1000,"125,000",2-Y-O,C&G,SW,PHELAN READY STAKES
10-Dec-22,451,3,WA,WATC,ASCT,THE GOLD RUSH,1400,"1,500,000",3YO&Up,O,WFA,A J SCAHILL STKS
10-Dec-22,516,4,WA,WATC,ASCT,G.A. TOWTON CUP,2200,"125,000",3YO&Up,O,Qlty,G.A. TOWTON CUP
10-Dec-22,527,2,NSW,ATC,RAND,THE INGHAM,1600,"2,000,000",3YO&Up,O,Qlty,VILLIERS STAKES
10-Dec-22,197,4,NSW,ATC,RAND,CHRISTMAS CUP,2400,"160,000",3YO&Up,O,Qlty,CHRISTMAS CUP
10-Dec-22,619,4,NSW,ATC,RAND,RAZOR SHARP HCP,1200,"160,000",3YO&Up,O,Qlty,RAZOR SHARP HANDICAP
10-Dec-22,940,RL,NSW,ATC,RAND,INGLIS NURSERY,1000,"500,000",2-Y-O,O,SW,INGLIS NURSERY
10-Dec-22,645,4,VIC,VRC,FLEM,KENSINGTON STAKES,1000,"175,000",O,O,Hcp,KENSINGTON STAKES
14-Dec-22,218,4,TAS,TTC,LAUN,CONQUERING STAKES,1400,"100,000",O,O,WFA,PREMIUM STAKES
14-Dec-22,941,RL,NSW,WYNG,WYNG,MAGIC MILLIONS WYONG 2YO CLASSIC,1100,"200,000",2-Y-O,O,SW,MAGIC MILLIONS WYONG 2YO CLASSIC
