,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2023/24),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name,,,
30-Sep-23,14,G1,NSW,ATC,RAND,EPSOM HCP,"1,600","1,500,000",3YO&Up,O,Hcp,EPSOM HANDICAP,,,
30-Sep-23,16,G1,NSW,ATC,RAND,THE METROPOLITAN,"2,400","750,000",3YO&Up,O,Hcp,THE METROPOLITAN,,,
30-Sep-23,153,G3,NSW,ATC,RAND,BREEDERS' PLATE,"1,000","250,000",2-Y-O,C&G,SW,BREEDERS PLATE,,,
30-Sep-23,261,G1,NSW,ATC,RAND,FLIGHT STAKES,"1,600","750,000",3-Y-O,F,SW,FLIGHT STAKES,,,
30-Sep-23,279,G3,NSW,ATC,RAND,GIMCRACK STAKES,"1,000","250,000",2-Y-O,F,SW,ATC GIMCRACK STKS,,,
30-Sep-23,407,G2,NSW,ATC,RAND,PREMIERE STAKES,"1,200","1,000,000",3YO&Up,O,WFA,PREMIERE STAKES,,,
30-Sep-23,570,L,NSW,ATC,RHIL,DULCIFY STAKES,"1,600","250,000",3-Y-O,O,SW,DULCIFY STAKES,,,
30-Sep-23,743,L,VIC,MRC,MORN,R.M. ANSETT CLASSIC,"2,400","175,750",O,O,Hcp,R M ANSETT CLASSIC,,,
30-Sep-23,144,L,WA,WATC,BLMT,BLACK HEART BART STAKES,"1,200","125,000",3YO&Up,O,SWP,BIRTHDAY STKS,,,
1-Oct-23,208,G3,VIC,MRC,SANH,LADBROKES SANDOWN STAKES,"1,500","200,750",O,O,Qlty,SANDOWN STAKES,,,
4-Oct-23,296,L,WA,KALG-BOU RC,KALG,HANNAN'S HANDICAP,"1,400","150,000",3YO&Up,O,Qlty,HANNANS HANDICAP,,,
7-Oct-23,308,G2,NSW,ATC,RAND,HILL STAKES,"2,000","2,000,000",3YO&Up,O,WFA,HILL STAKES,,,
7-Oct-23,433,G2,NSW,ATC,RAND,ROMAN CONSUL STAKES,"1,200","300,000",3-Y-O,O,SW,ROMAN CONSUL STKS,,,
7-Oct-23,617,G3,NSW,ATC,RAND,THE NIVISON,"1,200","250,000",4YO&Up,M,SWP,THE NIVISON,,,
7-Oct-23,418,L,QLD,BRC,E FM,QUEENSLAND CUP,"2,400","160,000",O,O,Qlty,QUEENSLAND CUP,,,
7-Oct-23,319,L,WA,KALG-BOU RC,KALG,KALGOORLIE CUP,"2,300","150,000",3YO&Up,O,Qlty,KALGOORLIE CUP,,,
7-Oct-23,338,L,SA,MURR BDGE RC,MUBR,MURRAY BRIDGE GOLD CUP,"1,600","120,000",O,O,Qlty,LORD MAYOR'S MILE,,,
7-Oct-23,519,G1,VIC,VRC,FLEM,TAB TURNBULL STAKES,"2,000","752,100",4YO&Up,O,SWP,TURNBULL STAKES,,,
7-Oct-23,145,G2,VIC,VRC,FLEM,HQ TAVERN DANEHILL STAKES,"1,100","301,750",3-Y-O,O,SWP,DANEHILL STAKES,,,
